测试样本数	面积比例	正常率	异常率
281	0.785398	0.75089	0.0284698
282	0.785398	0.744681	0
283	0.785398	0.780919	0.0106007
284	0.785398	0.785211	0.00352113
285	0.785398	0.785965	0.0175439
286	0.785398	0.800699	0.0174825
287	0.785398	0.738676	0.0278746
288	0.785398	0.784722	0.0104167
289	0.785398	0.733564	0.00346021
290	0.785398	0.765517	0.00344828
291	0.785398	0.756014	0.0137457
292	0.785398	0.767123	0.00342466
293	0.785398	0.78157	0.00341297
294	0.785398	0.772109	0.0102041
295	0.785398	0.766102	0.0305085
296	0.785398	0.763514	0.00337838
297	0.785398	0.76431	0.023569
298	0.785398	0.778523	0.00671141
299	0.785398	0.785953	0.0167224
300	0.785398	0.796667	0.0166667
301	0.785398	0.787375	0.0166113
302	0.785398	0.791391	0.00331126
303	0.785398	0.735974	0.00660066
304	0.785398	0.773026	0.00986842
305	0.785398	0.754098	0.00655738
306	0.785398	0.77451	0.0228758
307	0.785398	0.765472	0.00977199
308	0.785398	0.772727	0.012987
309	0.785398	0.799353	0.012945
310	0.785398	0.732258	0.00967742
311	0.785398	0.765273	0.0096463
312	0.785398	0.772436	0.0384615
313	0.785398	0.779553	0.0127796
314	0.785398	0.742038	0.022293
315	0.785398	0.711111	0.0190476
316	0.785398	0.762658	0.0158228
317	0.785398	0.744479	0.0252366
318	0.785398	0.77673	0.0125786
319	0.785398	0.811912	0.00940439
320	0.785398	0.809375	0.015625
321	0.785398	0.778816	0.0249221
322	0.785398	0.770186	0.0248447
323	0.785398	0.804954	0.0123839
324	0.785398	0.765432	0.0123457
325	0.785398	0.815385	0.00307692
326	0.785398	0.797546	0.00920245
327	0.785398	0.779817	0.0183486
328	0.785398	0.710366	0.0121951
329	0.785398	0.778116	0.0151976
330	0.785398	0.775758	0
331	0.785398	0.749245	0.0241692
332	0.785398	0.746988	0.0210843
333	0.785398	0.768769	0.015015
334	0.785398	0.784431	0.011976
335	0.785398	0.752239	0.0179104
336	0.785398	0.782738	0.014881
337	0.785398	0.744807	0.0148368
338	0.785398	0.781065	0.00887574
339	0.785398	0.784661	0.020649
340	0.785398	0.779412	0.0147059
341	0.785398	0.797654	0.0205279
342	0.785398	0.783626	0.00877193
343	0.785398	0.760933	0.00874636
344	0.785398	0.781977	0.0203488
345	0.785398	0.742029	0.00869565
346	0.785398	0.760116	0.0144509
347	0.785398	0.786744	0.0115274
348	0.785398	0.747126	0.00862069
349	0.785398	0.773639	0.0143266
350	0.785398	0.745714	0.0371429
351	0.785398	0.777778	0.014245
352	0.785398	0.772727	0.0170455
353	0.785398	0.787535	0.0141643
354	0.785398	0.771186	0.0141243
355	0.785398	0.774648	0.0225352
356	0.785398	0.783708	0.00842697
357	0.785398	0.756303	0.0196078
358	0.785398	0.756983	0.0195531
359	0.785398	0.760446	0.0278552
360	0.785398	0.813889	0.00833333
361	0.785398	0.781163	0.0166205
362	0.785398	0.773481	0.0138122
363	0.785398	0.77686	0.0110193
364	0.785398	0.802198	0.0164835
365	0.785398	0.8	0.00547945
366	0.785398	0.778689	0.0245902
367	0.785398	0.768392	0.00544959
368	0.785398	0.774457	0.0108696
369	0.785398	0.739837	0.0216802
370	0.785398	0.816216	0.0135135
371	0.785398	0.768194	0.0107817
372	0.785398	0.774194	0.00268817
373	0.785398	0.756032	0.00268097
374	0.785398	0.708556	0.0187166
375	0.785398	0.762667	0.0213333
376	0.785398	0.707447	0.0239362
377	0.785398	0.785146	0.0238727
378	0.785398	0.761905	0.00793651
379	0.785398	0.781003	0.0237467
380	0.785398	0.739474	0.0184211
381	0.785398	0.784777	0.0183727
382	0.785398	0.790576	0.0026178
383	0.785398	0.788512	0.0104439
384	0.785398	0.786458	0.0208333
385	0.785398	0.768831	0.012987
386	0.785398	0.772021	0.00777202
387	0.785398	0.757106	0.0103359
388	0.785398	0.747423	0.00773196
389	0.785398	0.773779	0.0179949
390	0.785398	0.810256	0.00512821
391	0.785398	0.744246	0.0204604
392	0.785398	0.762755	0.00510204
393	0.785398	0.753181	0.0127226
394	0.785398	0.753807	0.00507614
395	0.785398	0.762025	0.0227848
396	0.785398	0.772727	0.00757576
397	0.785398	0.748111	0.0125945
398	0.785398	0.758794	0.0125628
399	0.785398	0.799499	0.0125313
400	0.785398	0.765	0.0075
401	0.785398	0.760599	0.0174564
402	0.785398	0.78607	0.00746269
403	0.785398	0.791563	0.00744417
404	0.785398	0.772277	0.0148515
405	0.785398	0.785185	0.0197531
406	0.785398	0.768473	0.0123153
407	0.785398	0.749386	0.017199
408	0.785398	0.762255	0.00490196
409	0.785398	0.748166	0.0122249
410	0.785398	0.790244	0.0146341
411	0.785398	0.773723	0.0145985
412	0.785398	0.791262	0.0169903
413	0.785398	0.753027	0.0169492
414	0.785398	0.702899	0.00724638
415	0.785398	0.713253	0.0120482
416	0.785398	0.742788	0.00721154
417	0.785398	0.748201	0.0167866
418	0.785398	0.763158	0.00956938
419	0.785398	0.763723	0.0167064
420	0.785398	0.738095	0.0261905
421	0.785398	0.738717	0.0118765
422	0.785398	0.803318	0.0165877
423	0.785398	0.765957	0.0189125
424	0.785398	0.773585	0.0141509
425	0.785398	0.783529	0.0141176
426	0.785398	0.7723	0.0117371
427	0.785398	0.758782	0.00936768
428	0.785398	0.771028	0.0140187
429	0.785398	0.827506	0.00932401
430	0.785398	0.788372	0.0186047
431	0.785398	0.784223	0.025522
432	0.785398	0.773148	0.00925926
433	0.785398	0.769053	0.0184758
434	0.785398	0.753456	0.0115207
435	0.785398	0.756322	0.0137931
436	0.785398	0.791284	0.0137615
437	0.785398	0.768879	0.01373
438	0.785398	0.771689	0.0159817
439	0.785398	0.76082	0.0296128
440	0.785398	0.786364	0.0113636
441	0.785398	0.773243	0.00680272
442	0.785398	0.769231	0.00226244
443	0.785398	0.792325	0.0180587
444	0.785398	0.72973	0.0292793
445	0.785398	0.764045	0.0179775
446	0.785398	0.757848	0.0269058
447	0.785398	0.778523	0.0178971
448	0.785398	0.767857	0.0223214
449	0.785398	0.783964	0.0178174
450	0.785398	0.782222	0.0111111
451	0.785398	0.747228	0.0133038
452	0.785398	0.785398	0.0265487
453	0.785398	0.763797	0.0154525
454	0.785398	0.759912	0.0154185
455	0.785398	0.764835	0.0175824
456	0.785398	0.75	0.0219298
457	0.785398	0.794311	0.0196937
458	0.785398	0.766376	0.00655022
459	0.785398	0.801743	0.00653595
460	0.785398	0.76087	0.0173913
461	0.785398	0.832972	0.00433839
462	0.785398	0.78355	0.00865801
463	0.785398	0.764579	0.0194384
464	0.785398	0.765086	0.0150862
465	0.785398	0.797849	0.0107527
466	0.785398	0.796137	0.0107296
467	0.785398	0.775161	0.0149893
468	0.785398	0.747863	0.0235043
469	0.785398	0.776119	0.00852878
470	0.785398	0.748936	0.00212766
471	0.785398	0.768577	0.0106157
472	0.785398	0.743644	0.0169492
473	0.785398	0.744186	0.0105708
474	0.785398	0.763713	0.0189873
475	0.785398	0.787368	0.00842105
476	0.785398	0.743697	0.012605
477	0.785398	0.748428	0.0167715
478	0.785398	0.715481	0.0251046
479	0.785398	0.762004	0.0208768
480	0.785398	0.775	0.01875
