理论空气量：6.23207
环境温度：20
排烟温度：124
Aerfa	q2	q4	dq2	dq4
1	4.14478	0.0407509	-101.42	0.155422
1.01	4.17375	0.0406919	2.89772	-0.00590637
1.02	4.20273	0.0406339	2.89772	-0.00579401
1.03	4.23171	0.0405771	2.89772	-0.00568468
1.04	4.26069	0.0405213	2.89772	-0.00557828
1.05	4.28966	0.0404666	2.89772	-0.00547471
1.06	4.31864	0.0404128	2.89772	-0.00537388
1.07	4.34762	0.0403601	2.89772	-0.0052757
1.08	4.3766	0.0403083	2.89772	-0.00518008
1.09	4.40557	0.0402574	2.89772	-0.00508693
1.1	4.43455	0.0402074	2.89772	-0.00499618
1.11	4.46353	0.0401583	2.89772	-0.00490775
1.12	4.4925	0.0401101	2.89772	-0.00482156
1.13	4.52148	0.0400628	2.89772	-0.00473753
1.14	4.55046	0.0400162	2.89772	-0.00465561
1.15	4.57944	0.0399704	2.89772	-0.00457572
1.16	4.60841	0.0399255	2.89772	-0.00449781
1.17	4.63739	0.0398812	2.89772	-0.0044218
1.18	4.66637	0.0398378	2.89772	-0.00434763
1.19	4.69534	0.039795	2.89772	-0.00427526
1.2	4.72432	0.039753	2.89772	-0.00420463
1.21	4.7533	0.0397116	2.89772	-0.00413568
1.22	4.78228	0.0396709	2.89772	-0.00406836
1.23	4.81125	0.0396309	2.89772	-0.00400262
1.24	4.84023	0.0395915	2.89772	-0.00393842
1.25	4.86921	0.0395528	2.89772	-0.0038757
1.26	4.89818	0.0395146	2.89772	-0.00381443
1.27	4.92716	0.0394771	2.89772	-0.00375456
1.28	4.95614	0.0394401	2.89772	-0.00369606
1.29	4.98512	0.0394037	2.89772	-0.00363887
1.3	5.01409	0.0393679	2.89772	-0.00358297
1.31	5.04307	0.0393326	2.89772	-0.00352831
1.32	5.07205	0.0392979	2.89772	-0.00347486
1.33	5.10103	0.0392636	2.89772	-0.00342258
1.34	5.13	0.0392299	2.89772	-0.00337145
1.35	5.15898	0.0391967	2.89772	-0.00332143
1.36	5.18796	0.039164	2.89772	-0.00327249
1.37	5.21693	0.0391317	2.89772	-0.00322459
1.38	5.24591	0.0391	2.89772	-0.00317772
1.39	5.27489	0.0390686	2.89772	-0.00313184
1.4	5.30387	0.0390378	2.89772	-0.00308692
1.41	5.33284	0.0390073	2.89772	-0.00304294
1.42	5.36182	0.0389773	2.89772	-0.00299987
1.43	5.3908	0.0389478	2.89772	-0.00295769
1.44	5.41977	0.0389186	2.89772	-0.00291638
1.45	5.44875	0.0388898	2.89772	-0.00287591
1.46	5.47773	0.0388615	2.89772	-0.00283625
1.47	5.50671	0.0388335	2.89772	-0.0027974
1.48	5.53568	0.0388059	2.89772	-0.00275932
1.49	5.56466	0.0387787	2.89772	-0.002722
1.5	5.59364	0.0387518	2.89772	-0.00268542
1.51	5.62262	0.0387253	2.89772	-0.00264956
1.52	5.65159	0.0386992	2.89772	-0.00261439
1.53	5.68057	0.0386734	2.89772	-0.00257991
1.54	5.70955	0.0386479	2.89772	-0.0025461
1.55	5.73852	0.0386228	2.89772	-0.00251293
1.56	5.7675	0.038598	2.89772	-0.00248039
1.57	5.79648	0.0385735	2.89772	-0.00244847
1.58	5.82546	0.0385494	2.89772	-0.00241716
1.59	5.85443	0.0385255	2.89772	-0.00238643
1.6	5.88341	0.0385019	2.89772	-0.00235627
1.61	5.91239	0.0384787	2.89772	-0.00232667
1.62	5.94136	0.0384557	2.89772	-0.00229762
1.63	5.97034	0.038433	2.89772	-0.0022691
1.64	5.99932	0.0384106	2.89772	-0.00224109
1.65	6.0283	0.0383884	2.89772	-0.0022136
1.66	6.05727	0.0383666	2.89772	-0.0021866
1.67	6.08625	0.038345	2.89772	-0.00216008
1.68	6.11523	0.0383236	2.89772	-0.00213403
1.69	6.1442	0.0383026	2.89772	-0.00210845
1.7	6.17318	0.0382817	2.89772	-0.00208332
1.71	6.20216	0.0382611	2.89772	-0.00205862
1.72	6.23114	0.0382408	2.89772	-0.00203436
1.73	6.26011	0.0382207	2.89772	-0.00201052
1.74	6.28909	0.0382008	2.89772	-0.00198709
1.75	6.31807	0.0381812	2.89772	-0.00196405
1.76	6.34705	0.0381618	2.89772	-0.00194142
1.77	6.37602	0.0381426	2.89772	-0.00191916
1.78	6.405	0.0381236	2.89772	-0.00189728
1.79	6.43398	0.0381048	2.89772	-0.00187577
1.8	6.46295	0.0380863	2.89772	-0.00185462
1.81	6.49193	0.038068	2.89772	-0.00183382
1.82	6.52091	0.0380498	2.89772	-0.00181336
1.83	6.54989	0.0380319	2.89772	-0.00179323
1.84	6.57886	0.0380142	2.89772	-0.00177344
1.85	6.60784	0.0379966	2.89772	-0.00175397
1.86	6.63682	0.0379793	2.89772	-0.00173481
1.87	6.66579	0.0379621	2.89772	-0.00171596
1.88	6.69477	0.0379451	2.89772	-0.00169742
1.89	6.72375	0.0379283	2.89772	-0.00167916
1.9	6.75273	0.0379117	2.89772	-0.0016612
1.91	6.7817	0.0378953	2.89772	-0.00164352
1.92	6.81068	0.037879	2.89772	-0.00162612
1.93	6.83966	0.0378629	2.89772	-0.00160899
1.94	6.86863	0.037847	2.89772	-0.00159213
1.95	6.89761	0.0378313	2.89772	-0.00157553
1.96	6.92659	0.0378157	2.89772	-0.00155918
1.97	6.95557	0.0378002	2.89772	-0.00154308
1.98	6.98454	0.037785	2.89772	-0.00152723
1.99	7.01352	0.0377699	2.89772	-0.00151162
