理论空气量：6.23207
环境温度：20
排烟温度：114
Aerfa	q2	q4	dq2	dq4
1	3.74375	0.0407509	-91.66	0.155422
1.01	3.76994	0.0406919	2.61886	-0.00590637
1.02	3.79613	0.0406339	2.61886	-0.00579401
1.03	3.82231	0.0405771	2.61886	-0.00568468
1.04	3.8485	0.0405213	2.61886	-0.00557828
1.05	3.87469	0.0404666	2.61886	-0.00547471
1.06	3.90088	0.0404128	2.61886	-0.00537388
1.07	3.92707	0.0403601	2.61886	-0.0052757
1.08	3.95326	0.0403083	2.61886	-0.00518008
1.09	3.97945	0.0402574	2.61886	-0.00508693
1.1	4.00563	0.0402074	2.61886	-0.00499618
1.11	4.03182	0.0401583	2.61886	-0.00490775
1.12	4.05801	0.0401101	2.61886	-0.00482156
1.13	4.0842	0.0400628	2.61886	-0.00473753
1.14	4.11039	0.0400162	2.61886	-0.00465561
1.15	4.13658	0.0399704	2.61886	-0.00457572
1.16	4.16277	0.0399255	2.61886	-0.00449781
1.17	4.18895	0.0398812	2.61886	-0.0044218
1.18	4.21514	0.0398378	2.61886	-0.00434763
1.19	4.24133	0.039795	2.61886	-0.00427526
1.2	4.26752	0.039753	2.61886	-0.00420463
1.21	4.29371	0.0397116	2.61886	-0.00413568
1.22	4.3199	0.0396709	2.61886	-0.00406836
1.23	4.34609	0.0396309	2.61886	-0.00400262
1.24	4.37227	0.0395915	2.61886	-0.00393842
1.25	4.39846	0.0395528	2.61886	-0.0038757
1.26	4.42465	0.0395146	2.61886	-0.00381443
1.27	4.45084	0.0394771	2.61886	-0.00375456
1.28	4.47703	0.0394401	2.61886	-0.00369606
1.29	4.50322	0.0394037	2.61886	-0.00363887
1.3	4.52941	0.0393679	2.61886	-0.00358297
1.31	4.55559	0.0393326	2.61886	-0.00352831
1.32	4.58178	0.0392979	2.61886	-0.00347486
1.33	4.60797	0.0392636	2.61886	-0.00342258
1.34	4.63416	0.0392299	2.61886	-0.00337145
1.35	4.66035	0.0391967	2.61886	-0.00332143
1.36	4.68654	0.039164	2.61886	-0.00327249
1.37	4.71273	0.0391317	2.61886	-0.00322459
1.38	4.73891	0.0391	2.61886	-0.00317772
1.39	4.7651	0.0390686	2.61886	-0.00313184
1.4	4.79129	0.0390378	2.61886	-0.00308692
1.41	4.81748	0.0390073	2.61886	-0.00304294
1.42	4.84367	0.0389773	2.61886	-0.00299987
1.43	4.86986	0.0389478	2.61886	-0.00295769
1.44	4.89605	0.0389186	2.61886	-0.00291638
1.45	4.92223	0.0388898	2.61886	-0.00287591
1.46	4.94842	0.0388615	2.61886	-0.00283625
1.47	4.97461	0.0388335	2.61886	-0.0027974
1.48	5.0008	0.0388059	2.61886	-0.00275932
1.49	5.02699	0.0387787	2.61886	-0.002722
1.5	5.05318	0.0387518	2.61886	-0.00268542
1.51	5.07937	0.0387253	2.61886	-0.00264956
1.52	5.10555	0.0386992	2.61886	-0.00261439
1.53	5.13174	0.0386734	2.61886	-0.00257991
1.54	5.15793	0.0386479	2.61886	-0.0025461
1.55	5.18412	0.0386228	2.61886	-0.00251293
1.56	5.21031	0.038598	2.61886	-0.00248039
1.57	5.2365	0.0385735	2.61886	-0.00244847
1.58	5.26269	0.0385494	2.61886	-0.00241716
1.59	5.28887	0.0385255	2.61886	-0.00238643
1.6	5.31506	0.0385019	2.61886	-0.00235627
1.61	5.34125	0.0384787	2.61886	-0.00232667
1.62	5.36744	0.0384557	2.61886	-0.00229762
1.63	5.39363	0.038433	2.61886	-0.0022691
1.64	5.41982	0.0384106	2.61886	-0.00224109
1.65	5.44601	0.0383884	2.61886	-0.0022136
1.66	5.47219	0.0383666	2.61886	-0.0021866
1.67	5.49838	0.038345	2.61886	-0.00216008
1.68	5.52457	0.0383236	2.61886	-0.00213403
1.69	5.55076	0.0383026	2.61886	-0.00210845
1.7	5.57695	0.0382817	2.61886	-0.00208332
1.71	5.60314	0.0382611	2.61886	-0.00205862
1.72	5.62933	0.0382408	2.61886	-0.00203436
1.73	5.65551	0.0382207	2.61886	-0.00201052
1.74	5.6817	0.0382008	2.61886	-0.00198709
1.75	5.70789	0.0381812	2.61886	-0.00196405
1.76	5.73408	0.0381618	2.61886	-0.00194142
1.77	5.76027	0.0381426	2.61886	-0.00191916
1.78	5.78646	0.0381236	2.61886	-0.00189728
1.79	5.81265	0.0381048	2.61886	-0.00187577
1.8	5.83883	0.0380863	2.61886	-0.00185462
1.81	5.86502	0.038068	2.61886	-0.00183382
1.82	5.89121	0.0380498	2.61886	-0.00181336
1.83	5.9174	0.0380319	2.61886	-0.00179323
1.84	5.94359	0.0380142	2.61886	-0.00177344
1.85	5.96978	0.0379966	2.61886	-0.00175397
1.86	5.99597	0.0379793	2.61886	-0.00173481
1.87	6.02215	0.0379621	2.61886	-0.00171596
1.88	6.04834	0.0379451	2.61886	-0.00169742
1.89	6.07453	0.0379283	2.61886	-0.00167916
1.9	6.10072	0.0379117	2.61886	-0.0016612
1.91	6.12691	0.0378953	2.61886	-0.00164352
1.92	6.1531	0.037879	2.61886	-0.00162612
1.93	6.17929	0.0378629	2.61886	-0.00160899
1.94	6.20547	0.037847	2.61886	-0.00159213
1.95	6.23166	0.0378313	2.61886	-0.00157553
1.96	6.25785	0.0378157	2.61886	-0.00155918
1.97	6.28404	0.0378002	2.61886	-0.00154308
1.98	6.31023	0.037785	2.61886	-0.00152723
1.99	6.33642	0.0377699	2.61886	-0.00151162
